Phrase,Target
military status,0.0
characteristics,0.0
application file,0.0
future vacancies,0.0
details,0.0
file,0.0
privacy policy,0.0
recruitment agencies,0.0
agoda,0.0
third party resumes,0.0
send resumes jobs,0.0
agoda employees organization location,0.0
responsible fees,0.0
unsolicited resumes,0.0
job job,0.0
job board,0.0
key responsibilities,0.0
*,0.0
evaluate define business metrics,0.0
data building,1.0
appropriate dashboard,1.0
reports,0.0
* consult business stakeholders,0.0
actionable insights growth business,0.0
* help team understand reasons,0.0
trend,0.0
insights,1.0
strategic decisions,1.0
support,1.0
various business functions development,0.0
maintenance,1.0
various management reports,0.0
contribute ideas efforts product success,0.0
* perform duties,0.0
skills/knowledge,0.0
year/ new graduate students,1.0
computer science/ software,1.0
related fields,1.0
ready work,1.0
full-time technical skills,1.0
* experience sql,1.0
query optimization business intelligence tools,1.0
* practical experience building reports,1.0
* experiences design,1.0
bi solutions,1.0
data model,1.0
big data platform,1.0
advanced excel skill,1.0
strong analytical thinking ability,1.0
attitude,1.0
statistical programming language,1.0
python,1.0
manipulate draw insights,1.0
large data,1.0
soft skills,1.0
strong motivation drive impact,1.0
product improvements,0.0
comfort collaboration,0.0
open communication,0.0
functional borders,0.0
good problem-solving skill,1.0
self-starter,0.0
good communication,1.0
good verbal,0.0
communication skills,1.0
/perks,0.0
/ *,0.0
places,0.0
passionate,0.0
team *,0.0
flexible working time *,0.0
hot-trend technologies,0.0
practices,0.0
* premium healthcare insurance,0.0
ones * company trip,0.0
big annual year-end party,0.0
every year,0.0
team building,0.0
* fitness,0.0
sport activities,0.0
football,0.0
tennis,0.0
table-tennis,0.0
badminton,0.0
yoga,0.0
community development activities,0.0
% pledge,0.0
charity,0.0
every quarter,0.0
blood donation,0.0
public seminars,0.0
career orientation talks,0.0
free in-house entertainment facilities,0.0
foosball,0.0
pong,0.0
gym,0.0
coffee,0.0
snack,0.0
instant noodles,0.0
cookies,0.0
candies,0.0
fantastic things,0.0
opportunity bi developer,0.0
product managers business users,0.0
business questions data solutions,0.0
support maintain solutions,0.0
work variety data sources data tools,0.0
in-house enterprise,0.0
build insight data report visualization,0.0
business questions requests,0.0
proper bi solution,1.0
measurable scalable design,1.0
hadoop/vertica,1.0
etl tools,1.0
ssis in-house,1.0
etl,1.0
dashboard,1.0
tableau,1.0
product achieve team ’ standard quality checklist,0.0
bi technology date data insight team,0.0
years experience business intelligence area fluent,1.0
english interpersonal skills experience etl tools,1.0
data modeling,1.0
visualization proficient knowledge,1.0
relational database,1.0
able write,0.0
execute,0.0
interpret queries,0.0
curious –,0.0
self-driven learner areas,0.0
new business models,1.0
analytical techniques,1.0
technical skills,0.0
etc experience business analysis data modeling,1.0
languages,1.0
equal opportunity employer agoda,0.0
basic information,0.0
working address,0.0
light building,0.0
huu,0.0
nam tu liem,0.0
time,0.0
pm,0.0
monday saturday morning,0.0
saturday morning,0.0
online,0.0
salary,0.0
millions,0.0
vnd job description,0.0
decision tools,0.0
data visualization programs,1.0
tools techniques,1.0
dashboards,1.0
reports presentations,1.0
data storytelling,1.0
interpretation trends,1.0
business importance,1.0
meanings data,0.0
sure internal activities,0.0
daily/weekly progress,0.0
agile structure,1.0
clear okr/kpis,0.0
support collaborate business stakeholders,0.0
understanding reasons,0.0
trends,0.0
technology company,0.0
data analysis business analysis degree computer science software engineer,0.0
proficiency sql,1.0
powerbi,1.0
bi platforms,1.0
r,1.0
good command,0.0
english ability focus,1.0
tasks,0.0
specific outcome,0.0
benefits,0.0
professional working environment,0.0
efficiency,0.0
year,0.0
month,0.0
salary bonus,0.0
modern equipment work,0.0
periodic bonus,0.0
holiday bonus,0.0
lunch allowance,0.0
allowance,0.0
social insurance – health insurance – unemployment insurance regimes,0.0
regulations,0.0
regimes,0.0
labor law,0.0
holiday,0.0
new year,0.0
leave…,0.0
preferential regimes,0.0
annual vacation trip,0.0
birthday,0.0
periodic health examination year thu,0.0
international general hospital,0.0
opportunity,0.0
1-2 times,0.0
/ year,0.0
purpose job holder,0.0
responsible use analysis,0.0
business,0.0
methods,0.0
processes,0.0
systems,0.0
analyze,1.0
trigger business problems business decision process,0.0
customer value operation efficiency,0.0
help business,0.0
understand implications information,0.0
identifies,0.0
performance management,1.0
key accountabilities,1.0
analysis và reporting identify,1.0
interpret trends patterns,1.0
complex data sets,1.0
script languages,1.0
analysis datasets,1.0
metrics,1.0
reports visualizations,1.0
use data visualization programs,1.0
maintain statistical models,1.0
ad hoc review analysis data,1.0
understand data requirements,1.0
outside tribe analyze,1.0
senior tribe members,1.0
required technical requirements,1.0
align stakeholders,1.0
impact analytical solutions business,0.0
lead identification interpretation,1.0
meaningful actionable insights,1.0
various data sources,1.0
tools monitor,1.0
model performance data accuracy,1.0
interact squads,0.0
tribe,0.0
identify questions issues data analysis,1.0
assess effectiveness accuracy,1.0
new data sources data gathering techniques,1.0
success,0.0
qualification,0.0
bachelor,1.0
degree finance,1.0
risk management,1.0
statistics,1.0
mathematics,1.0
quantitative analysis,1.0
relevant experience areas,1.0
analysis,1.0
và planning,0.0
problem,0.0
english proficiency requirements,1.0
techcombank,0.0
policy experience,0.0
e.g,0.0
sql,1.0
actionable intelligent experience,1.0
complex analysis models,1.0
diverse team experience data management,0.0
etl analysis functions experience data analysis bi tools tableau,1.0
qlikview,1.0
spark,1.0
deep understanding information security,1.0
management data,1.0
strong understanding agile principles,1.0
methodology experience,1.0
agile teams,1.0
digital transformation projects,0.0
building,0.0
dashboards monitor performance metrics,0.0
data quality,1.0
data sources,1.0
reliable relevant team ’ purposes,0.0
internal team consolidate requirements,0.0
business needs,1.0
deliver projects,0.0
ad-hoc tasks/ projects,1.0
manager,0.0
senior bi members,0.0
know team,0.0
many great strides,0.0
recent years,0.0
reach,0.0
globe,0.0
list travel products,0.0
critical driver success team agoda finance,0.0
steady hand,0.0
day-to-day financial operations,0.0
eye future opportunities,0.0
unique role,0.0
innovation growth,0.0
means,0.0
empowerment team members,0.0
experimentation data analysis deeply,0.0
ingrained culture,0.0
strategic insights,0.0
’ business leaders,0.0
push new territories,0.0
sustainable scalable ways,0.0
career development agoda finance,0.0
every function,0.0
team,0.0
well-defined career track,0.0
clear goals development targets,0.0
way,0.0
senior business intelligence analyst part,0.0
commercial finance team reports business intelligence manager,0.0
successful candidate work,0.0
finance department tools,1.0
models,1.0
technical knowledge,1.0
generate value,0.0
senior leadership,1.0
enable success business,0.0
high volumes,1.0
operational data,1.0
forecasts,1.0
solutions,0.0
senior management,0.0
conclusions,0.0
impact commercial decisions business,0.0
position,0.0
bangkok – relocation,0.0
expat candidates,0.0
* role,0.0
support finance community data,0.0
analytical capabilities,0.0
entire finance organization,0.0
commercial finance team evaluation,0.0
initiatives,0.0
investments,0.0
major operational changes,0.0
operational financial performance trends,0.0
complex data,1.0
actionable insights,0.0
strong connections,1.0
engineering finance teams,0.0
trusted proactive partner,0.0
project delivery create maintain models,0.0
stakeholders,0.0
well-written documentation mind,0.0
optimize reports,1.0
procedures,1.0
mind collaborate engineering product development teams changes,0.0
new sources data,0.0
end users,0.0
knowledge,0.0
enable skill development,0.0
effective training programs,0.0
leader,0.0
new technologies,0.0
commercial finance team,0.0
bachelor ’ degree,1.0
analytics,1.0
analytics tools,1.0
similar technologies,1.0
experience etl tools,1.0
proficient knowledge,0.0
relational databases,1.0
ability write,0.0
essential quick learner,1.0
problem-solving aptitude,1.0
effective prioritization,0.0
strong attention detail,0.0
high sense ownership growth mindset,1.0
ability,0.0
self-directed ability understand business questions/requests,0.0
proper bi solutions,1.0
measurable scalable excellent communication skills ability influence peers,0.0
strong relationships,0.0
finance,1.0
advanced excel modelling,1.0
cubes,0.0
vba bonus,0.0
accounting/financial knowledge,1.0
commercial acumen,1.0
solid technical/functional knowledge statistics,1.0
experience r python,1.0
similar familiarity scrum/agile methodology,1.0
helpful skills,0.0
etl knowledge,1.0
batch scripting,1.0
odbc,1.0
data mining,1.0
jakarta,0.0
phuket,0.0
hanoi data representation data analysis sql data analytics analytics,0.0
language,1.0
data mining data science r,1.0
programming language,1.0
analytical skills data visualization,1.0
business analysis business intelligence,1.0
bi,1.0
sql server machine,1.0
microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas,0.0
software,1.0
artificial intelligence,1.0
ai,1.0
information technology capital,0.0
accenture upwork deloitte mckinsey bain,0.0
microsoft uber lyft gojek lazada alibaba,0.0
expedia skyscanner,0.0
mô tả công việc,0.0
able produce,0.0
timely pre-defined reports,0.0
bi manager,1.0
dashboard bi report system,1.0
templates/ tools,1.0
define price,0.0
promotion articles,0.0
cross-functional partners,0.0
execute tools,0.0
analytical purpose ad-hoc reporting data analysis duties responsibilities,0.0
cầyou công việc,0.0
1-3 year experience data analyst,0.0
use data warehouse,1.0
data power,1.0
solutions analysis services review,0.0
source data,0.0
compile data documents data gathering,1.0
reporting,1.0
analytical thinking skills ability work,1.0
team environment,0.0
good english communication,1.0
job description,0.0
junior business intelligence engineer work,0.0
chief product officer,1.0
close guidance,0.0
senior engineer,1.0
flagship app,0.0
connect world ’ engineers,0.0
track steer progress,0.0
meet kpis,0.0
able track,0.0
give guidance business,0.0
deep analysis,1.0
big data,1.0
customer acquisition,1.0
customer retention,1.0
interactions,0.0
• build business intelligence dashboards,0.0
easy-to-read reports analytics,0.0
• work,0.0
chief product officer create,0.0
translate,0.0
queries,1.0
• etl,1.0
data loads,1.0
transformations,1.0
website translations,1.0
product requirements,0.0
administrative tools,1.0
jira,1.0
trello,1.0
help monitor progress,0.0
• daily standups,0.0
sync communicate progress roadblocks,0.0
team members,0.0
handle ad-hoc tasks behalf,0.0
chief product officer requirement • intermediate sql skills,0.0
• intermediate python skills,1.0
• intermediate verbal communication skills,1.0
english •,1.0
basic excel google sheets skills,1.0
macro/function experience,1.0
creative flexible thinking,1.0
can-do attitude overcome challenges,1.0
attention detail,1.0
multitask work,1.0
• familiarity tableau,1.0
• graduation,1.0
4-year university • experience,1.0
international remote teams,0.0
contact job poster,0.0
technical recruiter,0.0
developer,0.0
hybird,0.0
job poster location ho chi,0.0
city,0.0
vietnam send inmail,0.0
job job description,0.0
consult stakeholders,0.0
business developement,0.0
mall,0.0
marketplace,0.0
analyses,1.0
actionable business strategies,0.0
issues,0.0
information,1.0
various sources,0.0
analyze data,1.0
interpret patterns trends,1.0
propose solutions,1.0
track initiatives,1.0
efficiency support,0.0
various business functions development maintenance,0.0
various management reports requirements,0.0
junior senior applicants,0.0
discuss level seniority,0.0
previous experience,0.0
sql experience,1.0
large data sets numbers,1.0
verbal communication skills,1.0
english vietnamese experience,1.0
cross-functional teams,1.0
requirements,0.0
right metrics,0.0
describe state business,0.0
macro-level micro-level,1.0
automate report/,1.0
performance,1.0
management board,1.0
appropriate business,0.0
key metrics,1.0
different developmental stages,0.0
consult management,1.0
operational teams,0.0
deep dive data analyses,1.0
ad-hoc requests,1.0
responsible accuracy data extraction,1.0
0-2+ years industry experience,1.0
proven business impact,1.0
degree quantitative field,1.0
experience python,1.0
tools statistical analysis,1.0
data visualisation tools,1.0
proficiency advance sql skills,1.0
complex queries,1.0
ability manage,0.0
multiple priorities,0.0
priorities,0.0
multiple stakeholders,0.0
various divisions,0.0
inferences data,1.0
appropriate course actions,0.0
excellence,0.0
knowledge technology products,1.0
self-starter can-do attitude,0.0
able work team,0.0
job job description work,0.0
business intelligence analysts,1.0
data information,0.0
sound business decisions,0.0
responsible full life cycle development,0.0
implementation,0.0
self-serve data products design data mart intermediate,0.0
table structures,1.0
structures data,1.0
internal external sources,1.0
business processes,1.0
data collection generation,1.0
regional data engineering team business intelligence team data availability retrieval review grant,0.0
user access,0.0
data privacy policy review,0.0
manual processes,0.0
possible requirements bachelor,1.0
degree computer science information systems,1.0
related field,0.0
experience data engineering knowledge database architecture design proficient sql python ability work,0.0
fast-paced agile development environment,0.0
financial operations team,0.0
critical role,0.0
financial stabability shopee xpress,0.0
finance book,0.0
cash collection,0.0
asset management,0.0
compensation payment clients,0.0
partner,0.0
vendors,0.0
key interface,0.0
finance operations team,0.0
business transformance,0.0
essential communication,0.0
documentation,0.0
system,0.0
support daily operations projects,0.0
current process build procedures data integration,1.0
daily work,0.0
files,1.0
gsheet,1.0
excel,1.0
power bi…,1.0
daily reconciliation reports,1.0
propose solution process improvement,0.0
mitigate risk cash loss,1.0
automation,1.0
prioritise reporting timelines,0.0
financial impacts,0.0
high level accuracy requirements university,0.0
fields,0.0
minimum 1-3 years,1.0
relevant work experience,1.0
e-commerce express logistics experience,1.0
preferable able drive implement ideas,1.0
present findings,0.0
fast-paced environment,0.0
strong analytical problem-solving skill,1.0
excellent microsoft analytics tools skill,1.0
google datastudio,1.0
ability interact,0.0
problems,0.0
dialogue,1.0
high sense responsibility,0.0
eager learn,0.0
business requirements,1.0
context build warehouse data,1.0
technical specifications,1.0
accessible information decision makers,0.0
data analytics platforms,1.0
bi systems,1.0
bi models,1.0
users,0.0
members levels performance improvement suggestions,0.0
job,0.0
ninja van tech-enabled logistics company mission,0.0
hassle-free delivery services businesses,0.0
southeast asia,0.0
operations,0.0
become region,0.0
last-mile logistics company,0.0
merchants,0.0
parcels,0.0
every minute,0.0
countries,0.0
core,0.0
massive industry cutting-edge software,0.0
operational concepts,0.0
algorithm-based optimisation,0.0
dynamic routing,0.0
data-driven approach,0.0
best-of-class delivery services,0.0
shippers,0.0
customers,0.0
much room improvement,0.0
many ideas,0.0
industry,0.0
role participate,0.0
regular catchup stakeholders,0.0
changes business side data needs,0.0
monitor trends,1.0
new business insights,1.0
data engineers analysts,1.0
new opportunities analytics,1.0
actions,0.0
analytical projects support departments,1.0
decision-making data,1.0
responsibilities business intelligence,1.0
provide stakeholders,0.0
related understandings design,1.0
update optimize dashboards,1.0
tables,1.0
others,0.0
accurate insights,1.0
and/or support operations,0.0
data integrity plan,1.0
implement analytics projects,0.0
%,0.0
modeling,1.0
actionable data,0.0
descriptive stats,0.0
measure,0.0
operational efficiency,0.0
cost metrics,0.0
slas adherence,0.0
process,0.0
workflow,1.0
recommend changes,0.0
productivity stability service infrastructure,0.0
manual work prepare,0.0
source information teams,0.0
questions,0.0
“,0.0
data xx,0.0
” query maintenance support requirements experience,0.0
1-2 years,1.0
data analytics,1.0
data visualization tableau,1.0
familiarity cloud data tools,1.0
education,1.0
/ qualifications,1.0
bachelor degree computer science,1.0
information systems,1.0
address,0.0
ninja van vietnam office,0.0
binh district,0.0
ho chi,0.0
salary benefits,0.0
competitive income,0.0
market,0.0
tet,0.0
bonus,0.0
performance review,0.0
months,0.0
social insurance,0.0
days,0.0
full salary,0.0
high-class aon health insurance manager level,0.0
year end party,0.0
annual townhall ceremony,0.0
annual company trip,0.0
attractive team-building activities,0.0
regular internal activities,0.0
laptop employees,0.0
participate internal training courses,0.0
online/offline opportunities,0.0
positions,0.0
team leader,0.0
manager etc,0.0
colleagues,0.0
senior leaders,0.0
respectful ready facilitate personal growth,0.0
young dynamic working environment scope work,0.0
company operations,0.0
provinces/cities,0.0
country,0.0
job application,0.0
acknowledge read,0.0
privacy policy notice,0.0
”,0.0
consent collection,0.0
use and/or disclosure,0.0
personal data ninja logistics,0.0
ltd,0.0
“ company ”,0.0
notice,0.0
event job application,0.0
personal data,0.0
third party,1.0
pursuant purposes,0.0
warrant third party duly,0.0
role finance data science team create,0.0
frameworks new product,1.0
financial reports,1.0
relevant data information,1.0
financial reporting requirements,1.0
troubleshoot system-related issues,1.0
document process,1.0
business logics manage stakeholders,0.0
needs,0.0
concerns problems,1.0
changes,0.0
enhancements,0.0
product,0.0
technical challenges,0.0
level accuracy requirements,0.0
’ degree finance,1.0
accounting,1.0
economics,1.0
business administration and/or business analytics,1.0
database advantage,1.0
robust data analytics,1.0
and/or visualization skills,1.0
python and/or,1.0
microsoft power bi,1.0
effective team player passion,0.0
results-oriented fast- pace environment,0.0
strong analytical thinking problem,1.0
communication project management skill,1.0
sense ownership,1.0
drive determination dependability,1.0
strong work ethic,1.0
numbers data,0.0
data cleanliness accuracy,1.0
data manage,1.0
large amounts data,1.0
data-driven insights business,1.0
strategic planning drive improvement actions,0.0
business decisions,1.0
entire performance shopeepay data,0.0
analytic team,0.0
risks,0.0
periodic ad hoc reporting facilitate operations,0.0
track performance drive improvement,0.0
periodical report,1.0
track,1.0
department,0.0
operations management adhoc,0.0
requirement,0.0
new research practices,0.0
effectiveness speed requirements,0.0
bachelor degree,1.0
major quantitative subject,1.0
business analytics,1.0
engineering,1.0
mathematics someone experience,1.0
fintech e-commerce industry,1.0
similar capacity,0.0
advantage experience,0.0
years experience business intelligence data analytics proficiency sql,0.0
structured query language,1.0
excel power point,1.0
strong analytical problem,1.0
insights data,1.0
research design,1.0
practical scalable solutions,1.0
high energy,0.0
self-motivation ability,1.0
environment customer,0.0
good critical thinking,1.0
logical thinking,1.0
excellent verbal non-verbal communication skills,0.0
payment processing system/fintech,1.0
quantitative qualitative sources,0.0
motivated business intelligence analysts,1.0
bi team provide business team data support,1.0
business goals,0.0
ideal candidate,0.0
large scale database,1.0
building metrics,1.0
relevant focus programs,0.0
business metrics reports,0.0
ms power platform,1.0
deep data generate insights,1.0
business issues,0.0
opportunities growth,0.0
strong interest predicting,0.0
future,0.0
data-driven self-service organization,1.0
operational efficiency bi team,0.0
supply chain,0.0
business partners,0.0
multiple project areas,0.0
bi needs,1.0
e.g.,0.0
new metrics,0.0
bi report,1.0
impact analysis,1.0
new program,0.0
manage request intake,1.0
right priorities,0.0
entire organization,0.0
automate business reports,1.0
accurate reliable data,1.0
individual business team standard,0.0
analytical approach,1.0
requests,0.0
complex ambiguous business problem statements analysis requirements,0.0
derive business insights analysis,0.0
recommendations,1.0
center/e-commerce platform,1.0
working business partners,0.0
strong sql skills,1.0
postgres,1.0
strong excel skills,1.0
experience bi tools,1.0
power,1.0
basic experience,1.0
strong self-starter,0.0
confident operate,1.0
strong interpersonal skills,1.0
oral communication skill,1.0
good analytical skills,1.0
passion metrics figures,1.0
high attention details,1.0
performance reviews,0.0
year laptop,0.0
macbook/window,0.0
professional constructive environment,0.0
various snacks drinks bar,0.0
15-day annual leaves,0.0
labour law,0.0
happy hour,0.0
birthday party,0.0
… team building activities,0.0
democratise data building,0.0
consult business stakeholders,0.0
logistics,0.0
shopee express,0.0
lead actionable insights growth business lead effort communicate state business stakeholders,0.0
shopee,0.0
team understand reasons,0.0
year experience business intelligence data analytics role,0.0
business impact,0.0
strong experience sql,1.0
excel skill knowledge power query,1.0
power pivots,1.0
key drivers success category execution,0.0
campaigns,1.0
traffic mechanics,1.0
business target,0.0
methodology,0.0
data report,1.0
commercial teams,0.0
daily operations,0.0
key opportunities risks,0.0
• understand platform business operations category strategies,0.0
commercial category teams,0.0
key drivers,0.0
risks opportunities,0.0
category requirement,0.0
analytical requirements,1.0
data products team business intelligence team building,0.0
layered tables,0.0
business strategy monitoring performance,0.0
• understand operational demand categories,0.0
standardized analysis trackers,1.0
actionable execution,0.0
discuss performance category leaders business leaders,0.0
good performance,0.0
data analyses,1.0
country knowledge,1.0
country teams,0.0
structural solutions issues country teams,0.0
• leverage,0.0
functional expertise lead,0.0
approach,0.0
functional area,0.0
support development solutions,0.0
counterparts bi,1.0
pm / automation,0.0
traffic,0.0
trial solutions,0.0
rolled-out region-wide job requirements,0.0
bachelor ’ s/master degree,1.0
computer science business management •,1.0
experience business performance analysis reporting,1.0
data analysis,1.0
independent thoughts insight,0.0
strong sql skill,1.0
basic analytical tool sas,1.0
spss,1.0
qliksense etc,1.0
• ability,0.0
perceive opportunities,0.0
data •,1.0
excellent communication skills,1.0
interpersonal skills,1.0
• results detail,0.0
strong emphasis problem,1.0
cross bu level analysis projects,0.0
• e-commerce experience,1.0
• experience logistics,1.0
fulfilment,0.0
monitoring,0.0
strategy and/or tech,0.0
contact job poster mai anh,0.0
mina,0.0
senior talent acquisition @ lazada || need help job search,0.0
job poster location,0.0
send inmail,0.0
business intelligence solutions organization,0.0
reports office applications,0.0
company ’ mission,0.0
management executives,0.0
manuals organization,0.0
development needs,0.0
operations organization efficiency profitability requirements familiarity data collection software protocol experience,0.0
new software programs data services,0.0
multiple projects,0.0
deadlines,0.0
excellent analytical forecasting ability,0.0
job site name,0.0
ho,0.0
chi minh city,0.0
date,0.0
mar,0.0
opportunity help,0.0
quality performance measurement,0.0
internal external data support,0.0
profitable growth,0.0
markets,0.0
business intelligence manager,0.0
help gsk,0.0
commercial value,0.0
internal data sources,0.0
loc ’ business stakeholders,0.0
country bim,0.0
consistent coherent performance measurement,0.0
loc deliver business insights brand performance forecast accuracy,0.0
standard kpis collaboration country/global analytics team,0.0
strong measurement tools,0.0
competition,0.0
quality customer engagement,0.0
business impact bridge lead parameters,0.0
outcomes,0.0
commercial analytics business intelligence roadmap drive,0.0
customer,0.0
insight experience drive optimal,0.0
efficiencies,0.0
secondary data resource utilization,0.0
drive improvement data connectivity,0.0
different commercial platform/ system,0.0
first-hand insight country,0.0
kc data,0.0
workflow optimization activities responsibilities,1.0
opportunity lead,0.0
key activities,0.0
career,0.0
resource managements,1.0
availability data,0.0
key stakeholders/3rd party,0.0
issues/bug data source reports,1.0
monthly performance review system management,0.0
business unit structure maintenance service capability build,0.0
utilize bi resource system,1.0
task jobs,0.0
requested line manager,1.0
commercial leaders,0.0
basic qualifications,0.0
professionals,0.0
achieve goals,0.0
years experience business intelligence,1.0
related area pharma experience asset,1.0
commercial experience asset fluency,1.0
english people management experience,1.0
expert project management country experience asset consultancy agency experience asset,0.0
boundaries,0.0
functional areas,0.0
high resilience agility,1.0
strategic analytical mindset,1.0
full project lifecycle appreciation,0.0
creative problem,0.0
demonstrable evidence,0.0
multi-cultural sensitivity gsk,0.0
gsk,1.0
unprecedented change,0.0
leader consumer healthcare,0.0
leadership,0.0
commercial execution,0.0
significant changes,0.0
separate create,0.0
new companies,0.0
new gsk,0.0
portfolio vaccines specialty medicines,0.0
immune system genetics science,0.0
new world-leading consumer healthcare company,0.0
trusted brands,0.0
new ambition,0.0
new purpose,0.0
unite science,0.0
talent,0.0
technology get,0.0
– clear ambition,0.0
human health impact,0.0
sustainable shareholder returns,0.0
outstanding people,0.0
preventing disease,0.0
people culture,0.0
culture,0.0
ambitious patients,0.0
deliver matters,0.0
accountable impact,0.0
clear ownership goals,0.0
right thing,0.0
lives billions,0.0
moment journey,0.0
join challenge,0.0
goal,0.0
world ’,0.0
performing,0.0
healthcare companies,0.0
something,0.0
unique gsk combine knowledge,0.0
experiences,0.0
impact,0.0
join adventure gsk,0.0
work patients consumers,0.0
place,0.0
important notice employment businesses/ agencies,0.0
accept referrals employment businesses,0.0
employment agencies,0.0
vacancies,0.0
site,0.0
employment businesses/agencies,0.0
contact gsk,0.0
commercial general procurement/human resources department,0.0
authorization,0.0
candidates,0.0
authorization condition precedent agreement,0.0
employment business/ agency gsk,0.0
absence,0.0
undertaken employment business/agency,0.0
consent,0.0
contractual agreement gsk,0.0
liable fees,0.0
actions fees,0.0
referrals employment businesses/agencies,0.0
entire performance shopeefood data,0.0
democratse data building,0.0
business development,0.0
campaign,1.0
insight drive,0.0
years industry experience business intelligence data analytics role,1.0
business impact experience,1.0
macro-level micro-level passion,1.0
usable thorough dashboards/visualizations,1.0
power query,1.0
power pivots experience mysql compulsory,1.0
english vietnamese coordinate stakeholders,0.0
region,0.0
technology,1.0
smart,0.0
make difference world,0.0
join rocketship,0.0
social vietnam,0.0
passionate business intelligence,1.0
analysts,1.0
information insight,1.0
insight business decisions,1.0
interpret data,1.0
analyze results,1.0
statistical techniques,1.0
requests business stakeholders,0.0
development maintenance data,0.0
serve analytical purposes,0.0
timely manner identify,0.0
opportunities recommendations revenue p,0.0
l optimization,0.0
define new improvement opportunities areas,0.0
products,0.0
processes qualifications,0.0
experience banking/finance industry,1.0
strong analytical skills ability,1.0
disseminate significant amounts information attention detail accuracy,0.0
strong experience databases,1.0
knowledge statistics,1.0
statistical packages,1.0
datasets,1.0
use skills,0.0
serve business stakeholders,0.0
basis compensation benefits,0.0
brightest technology teams,0.0
part,0.0
exponential growth,0.0
world-class talents,0.0
top-level managers,0.0
international group experts,0.0
market rate,0.0
generous comprehensive optional health insurance package family opportunity,0.0
business intelligence manager charge,0.0
decision business optimization,0.0
various reports,0.0
0-2+ years,0.0
associate level,1.0
senior level,1.0
industry experience,1.0
data visualization tools,1.0
proficiency,0.0
sql skills,1.0
role responsibilities,0.0
socialise business dashboards reports support business,0.0
decision-making growth,0.0
implement data assets,0.0
marketing sales performance,0.0
customer experience,0.0
insights data consult business stakeholders,0.0
relevant experience business intelligence data analytics role,0.0
strong competency,0.0
strong business acumen,0.0
experience driving business impact,0.0
cross-functional stakeholders,0.0
verbal skills,1.0
hubspot,1.0
relevant systems advantage,0.0
strategic plan development,0.0
training development orientation,0.0
managers,0.0
young dynamic team,0.0
flexible working time,0.0
pharma startup,0.0
pharmaceutical industry,0.0
pharmaceutical companies,0.0
sales,0.0
join,0.0
team contribute,0.0
fast-moving industry,0.0
•,0.0
share trends,0.0
accessible information decision-making,0.0
data generate reports support business decision-making business performance monitoring,0.0
quality reports customers,0.0
quality assurance checks reports,0.0
developer/bi analyst role,1.0
graduate degree computer science,1.0
informatics,1.0
another quantitative field,0.0
• experience,0.0
relational sql nosql databases,1.0
mssql,1.0
strong experience building,0.0
• experience data warehouse design,1.0
knowledge business process management,1.0
business intelligence concepts,1.0
creative provide,0.0
appropriate visual representations,1.0
bi/reporting tools data storage platforms,1.0
